good = 5.039047096430767, bad = 5.022366555084676
good = 5.162954659455977, bad = 5.035789373876622
good = 5.2731332308845476, bad = 5.063613758664094
good = 5.39457880911584, bad = 5.083747986852014
good = 5.450498349345725, bad = 5.110593624435906
good = 5.546917644336449, bad = 5.169209505199438
good = 5.7018432395745435, bad = 5.182632323991385
good = 5.750212647943953, bad = 5.213613274435422
good = 5.8273555050868096, bad = 5.233747502623342
good = 5.967077727309032, bad = 5.253881730811261
good = 6.030649155880459, bad = 5.3464432520640575
good = 6.084756298737602, bad = 5.363361596583074
good = 6.178033431669906, bad = 5.0532859462246025
good = 6.223024385498247, bad = 5.147406323205898
good = 6.284294226768087, bad = 5.197369037598142
good = 6.34310375057761, bad = 5.2451878295444505
good = 6.409175179149038, bad = 5.2577717221619
good = 6.479175179149038, bad = 5.306709082340871
good = 6.534175179149038, bad = 5.320131901132816
good = 6.565544226768087, bad = 5.352430558850937
good = 6.636734702958563, bad = 5.35914196824691
good = 6.686721947856521, bad = 5.40130799573173
good = 6.77840114585151, bad = 5.498814766013139
good = 6.839384999162949, bad = 5.549246764778856
good = 6.880847584196962, bad = 5.608151366888156
good = 6.935926949276327, bad = 5.614862776284129
good = 7.026095016503217, bad = 5.6282855950760755
good = 7.084587079995282, bad = 5.526868480122714
good = 7.124042862308206, bad = 5.544845469576214
good = 7.185493078758423, bad = 5.678107621294742
good = 7.227397840663183, bad = 5.691530440086689
good = 7.264094269234612, bad = 5.716488493777964
good = 7.303022840663184, bad = 5.729911312569911
good = 7.352778204347119, bad = 5.754037354313402
good = 7.39328840842875, bad = 5.789571870133153
good = 7.4686852338255765, bad = 5.802994688925099
good = 7.536832810644845, bad = 5.820495621065293
good = 7.630433019959339, bad = 5.833918439857239
good = 7.675357032117394, bad = 5.87975593807229
good = 7.744493430336552, bad = 5.87975593807229
good = 7.811551936165288, bad = 5.8765057492391275
good = 7.865939691267329, bad = 5.91060876404684
good = 7.8903877432153795, bad = 5.968723468134698
good = 7.9339591717868085, bad = 5.975434877530671
good = 7.969832187659826, bad = 5.975434877530671
good = 8.035140310909126, bad = 6.0140666053895995
good = 8.097322850591667, bad = 6.027489424181546
good = 8.161322850591667, bad = 5.988807888679823
good = 8.218329653312756, bad = 5.995519298075796
good = 8.244111966237925, bad = 6.022364935659688
good = 8.286978266604226, bad = 6.050352888135497
good = 8.31579204211443, bad = 6.097297798650038
good = 8.356887569399614, bad = 6.097297798650038
good = 8.399087275086046, bad = 6.10636678341044
good = 8.438393166934313, bad = 6.094613569716072
good = 8.477368854992374, bad = 6.024225042830466
good = 8.514986244963598, bad = 6.019649656367294
good = 8.541440831505863, bad = 6.034415936744677
good = 8.574860744925775, bad = 6.045568614898955
good = 8.602955983021014, bad = 6.058991433690902
good = 8.644265506830537, bad = 6.072414252482848
good = 8.670207104292304, bad = 6.115638924902151
good = 8.698182366170853, bad = 6.122350334298124
good = 8.725645334467902, bad = 6.129061743694097
good = 8.760896334426095, bad = 6.13577315309007
good = 8.795598715378476, bad = 6.142476468510578
good = 8.835305995395856, bad = 6.101677730276825
good = 8.872006675667965, bad = 6.137511862587468
good = 8.902649290542364, bad = 6.094447013207787
good = 8.92317576883507, bad = 6.12062672730824
good = 8.944186267272137, bad = 6.1711620421053
good = 8.982028967412306, bad = 6.177873451501274
good = 9.040332468544817, bad = 6.184584860897246
good = 9.07683605628128, bad = 6.155343742013318
good = 9.107203494478037, bad = 6.177388857598701
good = 9.13357672475229, bad = 6.179852091548997
good = 9.148670201693838, bad = 6.231641646509602
good = 9.177757236488262, bad = 6.245064465301548
good = 9.202467868690261, bad = 6.2651986934894675
good = 9.219747816531124, bad = 6.28295315610623
good = 9.285837693367156, bad = 6.202713710759954
good = 9.31900352638703, bad = 6.231389732724566
good = 9.333289240672745, bad = 6.2582353703084594
good = 9.350432097815602, bad = 6.278369598496378
good = 9.377397427104812, bad = 6.30479725559871
good = 9.405057256591384, bad = 6.306653549560939
good = 9.433818641903581, bad = 6.315395045390214
good = 9.461066447188422, bad = 6.344720609435515
good = 9.48326859322529, bad = 6.3651344796816
good = 9.525266429455142, bad = 6.378557298473546
good = 9.55830887402657, bad = 6.381693000566828
good = 9.572594588312285, bad = 6.399172111807862
good = 9.606221711637042, bad = 6.401313606591461
good = 9.630093246955976, bad = 6.368642523793813
good = 9.651223568170508, bad = 6.395488161377706
good = 9.67820542602838, bad = 6.376980143878158
good = 9.694925514450597, bad = 6.382483279118867
good = 9.733923771235016, bad = 6.402617507306787
good = 9.758537280476462, bad = 6.446186889462315
good = 9.78796250990113, bad = 6.4591174123203805
good = 9.810819652758273, bad = 6.472540231112326
good = 9.831739417913756, bad = 6.512647142076056
good = 9.858971165362538, bad = 6.48981967728681
good = 9.883866950460897, bad = 6.535191374616908
good = 9.913720044616388, bad = 6.551970440233489
good = 9.948214506238786, bad = 6.558681849629462
good = 9.997870388543548, bad = 6.544724037438692
good = 10.018108483781644, bad = 6.584806065775754
good = 10.04738883265067, bad = 6.570596468465029
good = 10.062056394985564, bad = 6.604967019614103
good = 10.078364961197977, bad = 6.665369704177861
good = 10.111736718590164, bad = 6.64884505495613
good = 10.140767917276534, bad = 6.668979283144049
good = 10.181482202990821, bad = 6.696384204844273
good = 10.190767917276537, bad = 6.746009556145653
good = 10.224529563239269, bad = 6.770475196647549
good = 10.245754053035188, bad = 6.797320834231442
good = 10.276011244951656, bad = 6.802656462321252
good = 10.306299821231624, bad = 6.816079281113199
good = 10.341722865449311, bad = 6.817675510419971
good = 10.365905301631228, bad = 6.857828820065977
good = 10.397399141340044, bad = 6.887670622558785
good = 10.434356009373326, bad = 6.888131152720735
good = 10.448046698790069, bad = 6.905074107574572
good = 10.48352288926626, bad = 6.930241892809471
good = 10.491147357664639, bad = 6.984492452093589
good = 10.509116405735137, bad = 6.997915270885535
good = 10.544361609238253, bad = 7.011338089677482
good = 10.573206512021287, bad = 7.053843682518644
good = 10.611884389541801, bad = 7.06726650131059
good = 10.639764252598518, bad = 7.094112138894483
good = 10.667958631431729, bad = 7.123787180103058
good = 10.707244345717442, bad = 7.169882790555624
good = 10.732075948926056, bad = 7.209846182868009
good = 10.760926407775395, bad = 7.229980411055929
good = 10.800862239767651, bad = 7.208070156601439
good = 10.83518957909499, bad = 7.216991302955688
good = 10.869801683480093, bad = 7.209837622872992
good = 10.893996694817961, bad = 7.233567248951611
good = 10.914377411104997, bad = 7.248018636233359
good = 10.935139922805782, bad = 7.2771006904832
good = 10.963575883396915, bad = 7.217879172450759
good = 11.00798396384377, bad = 7.224590581846733
good = 11.029541131230577, bad = 7.254511810895025
good = 11.056660630366695, bad = 7.267934629686971
good = 11.08312263297596, bad = 7.248728266455462
good = 11.11157501392834, bad = 7.229414906973568
good = 11.134432156785483, bad = 7.242837725765512
good = 11.154893236687581, bad = 7.31288140319174
good = 11.174736678254071, bad = 7.3456240540022115
good = 11.20985731017582, bad = 7.337067301711819
good = 11.236396515083522, bad = 7.343778711107793
good = 11.263318465065101, bad = 7.360481542010552
good = 11.283505721526403, bad = 7.38535892972351
good = 11.297896787746453, bad = 7.413078230007032
good = 11.316039241482386, bad = 7.470070342071739
good = 11.3303249557681, bad = 7.503627389051604
good = 11.364379434478366, bad = 7.530473026635497
good = 11.395562770478298, bad = 7.53718443603147
good = 11.424253246668776, bad = 7.5648689997898595
good = 11.449729437144967, bad = 7.59660837339165
good = 11.482892702451087, bad = 7.614725022300775
good = 11.514458605163693, bad = 7.6387173743299375
good = 11.532901437776887, bad = 7.69180450741206
good = 11.560639533014983, bad = 7.716133366472462
good = 11.583496675872127, bad = 7.740621428691927
good = 11.604352364751053, bad = 7.584071378577718
good = 11.632456861492422, bad = 7.610078089987114
good = 11.657885432920995, bad = 7.615985175882559
good = 11.685028290063851, bad = 7.617381136784197
good = 11.717144681540805, bad = 7.622828884207435
good = 11.75971806213569, bad = 7.657644320449046
good = 11.770698738353852, bad = 7.728157140961866
good = 11.796852663405103, bad = 7.794991592863432
good = 11.826423741441786, bad = 7.801703002259405
good = 11.842772907132463, bad = 7.869124702483117
good = 11.878283111214094, bad = 7.895796159732467
good = 11.892568825499808, bad = 7.929353206712334
