good = 5.019051148504274, bad = 5.076802884615384
good = 5.046915731837607, bad = 5.102427884615384
good = 5.064394898504273, bad = 5.162511217948718
good = 5.114478018509268, bad = 5.162511217948718
good = 5.124946768509268, bad = 5.162511217948718
good = 5.178620754995754, bad = 5.175743199930699
good = 5.203360338329087, bad = 5.183034866597366
good = 5.261693671662422, bad = 5.215326533264033
good = 5.298606568981996, bad = 5.215326533264033
good = 5.346318818355431, bad = 5.483550217474559
good = 5.488001410251838, bad = 5.4928072141328705
good = 5.493860785251838, bad = 5.506869714132871
good = 5.510892035251839, bad = 5.506869714132871
good = 5.532149302693698, bad = 5.506869714132871
good = 5.575134825292569, bad = 5.506869714132871
good = 5.629911611006854, bad = 5.532405428418587
good = 5.687212205000723, bad = 5.532405428418587
good = 5.718545538334056, bad = 6.062280428418586
good = 5.747342661349928, bad = 6.090246698259856
good = 5.78688747388203, bad = 6.136510180540287
good = 5.817616640548697, bad = 6.136510180540287
good = 5.880887346558373, bad = 6.136510180540287
good = 5.89349699568118, bad = 6.136510180540287
good = 5.922316440125624, bad = 6.136510180540287
good = 5.9995269379611225, bad = 6.183252604782711
good = 6.018984658549358, bad = 6.191965840076829
good = 6.071467297438246, bad = 6.191965840076829
good = 6.081586345057293, bad = 6.233632506743496
good = 6.134503011723959, bad = 6.242799173410162
good = 6.1431574128783595, bad = 6.296897297508286
good = 6.157674191744128, bad = 6.349814984166793
good = 6.188626960891973, bad = 6.349814984166793
good = 6.217388778118865, bad = 6.349814984166793
good = 6.340352319785532, bad = 6.369085817500126
good = 6.402635305896642, bad = 6.404398317500127
good = 6.4151353058966425, bad = 6.458564984166793
good = 6.437206238436325, bad = 6.458564984166793
good = 6.474817845579181, bad = 6.567561196288006
good = 6.50678568978208, bad = 6.360959453539346
good = 6.563627795045239, bad = 6.360959453539346
good = 6.595507401924846, bad = 6.381543408359082
good = 6.599086947379392, bad = 6.381543408359082
good = 6.621170280712724, bad = 6.381543408359082
good = 6.623357780712724, bad = 6.381543408359082
good = 6.648184169601613, bad = 6.467654519470194
good = 6.656257086268281, bad = 6.474946186136861
good = 6.6789133362682795, bad = 6.521821186136861
good = 6.692952162025855, bad = 6.522398837652012
good = 6.711360299917965, bad = 6.522398837652012
good = 6.7271409042481505, bad = 6.522398837652012
good = 6.7406977143791185, bad = 6.488036535596531
good = 6.7574148196422765, bad = 6.488036535596531
good = 6.774906806821764, bad = 6.459051844850047
good = 6.754672671128606, bad = 6.478402335046126
good = 6.7567560044619395, bad = 6.480069001712792
good = 6.771644806324554, bad = 6.480069001712792
good = 6.79173409203884, bad = 6.378393994618705
