good = 5.019051148504274, bad = 5.076802884615384
good = 5.046915731837607, bad = 5.102427884615384
good = 5.064394898504273, bad = 5.162511217948718
good = 5.114478018509268, bad = 5.162511217948718
good = 5.124946768509268, bad = 5.162511217948718
good = 5.178620754995754, bad = 5.175743199930699
good = 5.203360338329087, bad = 5.183034866597366
good = 5.261693671662422, bad = 5.215326533264033
good = 5.298606568981996, bad = 5.215326533264033
good = 5.346318818355431, bad = 5.483550217474559
good = 5.488001410251838, bad = 5.4928072141328705
good = 5.493860785251838, bad = 5.506869714132871
good = 5.510892035251839, bad = 5.506869714132871
good = 5.532149302693698, bad = 5.506869714132871
good = 5.575134825292569, bad = 5.506869714132871
good = 5.629911611006854, bad = 5.532405428418587
good = 5.687212205000723, bad = 5.532405428418587
good = 5.718545538334056, bad = 6.062280428418586
good = 5.747342661349928, bad = 6.090246698259856
good = 5.78688747388203, bad = 6.136510180540287
good = 5.817616640548697, bad = 6.136510180540287
good = 5.880887346558373, bad = 6.136510180540287
good = 5.89349699568118, bad = 6.136510180540287
good = 5.922316440125624, bad = 6.136510180540287
good = 5.9995269379611225, bad = 6.183252604782711
good = 6.018984658549358, bad = 6.191965840076829
good = 6.071467297438246, bad = 6.191965840076829
good = 6.081586345057293, bad = 6.233632506743496
good = 6.134503011723959, bad = 6.242799173410162
good = 6.1431574128783595, bad = 6.296897297508286
good = 6.157674191744128, bad = 6.349814984166793
good = 6.188626960891973, bad = 6.349814984166793
good = 6.217388778118865, bad = 6.349814984166793
good = 6.340352319785532, bad = 6.369085817500126
good = 6.402635305896642, bad = 6.404398317500127
good = 6.4151353058966425, bad = 6.458564984166793
good = 6.437206238436325, bad = 6.458564984166793
good = 6.474817845579181, bad = 6.567561196288006
good = 6.50678568978208, bad = 6.500429680459447
good = 6.563627795045239, bad = 6.500429680459447
good = 6.595507401924846, bad = 6.562593766267263
good = 6.599086947379392, bad = 6.562593766267263
good = 6.621170280712724, bad = 6.562593766267263
good = 6.623357780712724, bad = 6.562593766267263
good = 6.648184169601613, bad = 6.648704877378374
good = 6.656257086268281, bad = 6.65599654404504
good = 6.6789133362682795, bad = 6.70287154404504
good = 6.692952162025855, bad = 6.703449195560191
good = 6.713001706061695, bad = 6.703449195560191
good = 6.730837687446515, bad = 6.703449195560191
good = 6.744394497577482, bad = 6.680677877603899
good = 6.761111602840641, bad = 6.680677877603899
good = 6.778603590020127, bad = 6.660349044643348
good = 6.76598592245397, bad = 6.679699534839426
good = 6.768069255787302, bad = 6.681366201506092
good = 6.7829580576499175, bad = 6.681366201506092
good = 6.803047343364202, bad = 6.634433436517005
