good = 5.460854194115063, bad = -1.9459875221942984
good = 5.67033350423376, bad = -1.8064040008477418
good = 5.892036747850047, bad = -1.7440383423273957
good = 6.055809004578825, bad = -1.6242163198617217
good = 6.353393889913936, bad = -1.5264283413934299
good = 6.625441320743977, bad = -1.471151959483882
good = 6.823158092699878, bad = -1.406413084880468
good = 7.0098184352558714, bad = -1.3762623311116235
good = 7.1673546671399295, bad = -1.2853002744515112
good = 7.328867538558104, bad = -1.1860801530270084
good = 7.466905146612726, bad = -1.130169987381968
good = 7.653453243909106, bad = -1.068827807374379
good = 7.849309473861287, bad = -1.0336519279773944
good = 8.052475002545778, bad = -0.990787458057202
good = 8.191045430594466, bad = -0.9160735354298001
good = 8.351935699745606, bad = -0.8677095623553173
good = 8.56490624204338, bad = -0.8126754290649139
good = 8.734577739627921, bad = -0.7274740599002509
good = 8.88825962736841, bad = -0.6233747163835932
good = 9.001572827571637, bad = -0.4741879548614968
good = 9.168655233778267, bad = -0.3850885776944498
good = 9.292094847304837, bad = -0.2869592145224836
good = 9.414915715901447, bad = -0.16865252360905167
good = 9.549945780177428, bad = -0.08270933287648836
good = 9.796677043117386, bad = -0.0008614807795643128
good = 9.944055129840741, bad = 0.08285728574196254
good = 10.308095750360499, bad = 0.16487986490575382
good = 10.497785164180751, bad = 0.009026611011802738
good = 10.6237948260165, bad = 0.12793793783223978
good = 10.755492172148628, bad = 0.18598405019340555
good = 10.8970464115408, bad = 0.4282541193739051
good = 11.08163427778084, bad = 0.46610379635713794
good = 11.313003497932666, bad = 0.5896136853465985
good = 11.526236868426908, bad = 0.660856825717989
good = 11.74025653716397, bad = 0.841634419692
good = 12.014707882919666, bad = 0.7158205370738118
good = 12.222541635318635, bad = 0.8847524616054738
good = 12.592103278184627, bad = -0.9466639082974925
good = 12.814510725877918, bad = -0.7825095691774364
good = 13.143497613386545, bad = -0.7143696979787926
good = 13.310435540780976, bad = -0.8115258911212284
good = 13.534619287121881, bad = -0.7281439835629671
good = 13.665702827329445, bad = -0.9940689202729261
good = 13.850079754495843, bad = -0.9365011772515996
good = 14.082484995140215, bad = -0.8611250707852587
good = 14.272810249879791, bad = -0.7964253288245317
good = 14.416580975772256, bad = -0.6841810406921093
good = 14.547951024081437, bad = -0.5709394705224176
good = 14.733504279199906, bad = -0.4951716484141992
good = 14.902908005907978, bad = -0.5149581871277117
good = 15.153260516521366, bad = -0.5819055388310942
good = 15.287149232877473, bad = -0.4881346138126243
good = 15.40767616143546, bad = -0.4309464408028585
good = 15.572316477640994, bad = -0.624747299540162
good = 15.752863217453763, bad = -0.6999235488664713
good = 15.976867993297413, bad = -1.0720565105275712
good = 16.143164531744983, bad = -1.0397968357781013
good = 16.31299330541518, bad = -1.132168153225951
good = 16.519398928429503, bad = -1.0969922738289661
good = 16.67490952526181, bad = -1.0824482231632861
good = 16.835486014794817, bad = -1.0737174066352528
good = 16.970841548142413, bad = -1.0335164016101277
good = 17.082940927110556, bad = -0.9731968299406507
good = 17.153322224557073, bad = -0.8352087529095339
good = 17.280201391349287, bad = -1.2683246401715784
good = 17.37376551603298, bad = -1.1987971475762227
good = 17.554524572145464, bad = -1.2079653428740156
good = 17.681908607007408, bad = -1.2237518070673763
good = 17.83987547561065, bad = -1.2105975335199308
good = 17.944152998071246, bad = -1.1738146472877873
good = 18.104003678594484, bad = -1.280007145982503
good = 18.22074301369385, bad = -1.2250203356428417
good = 18.33759490551802, bad = -1.307306822201561
good = 18.399546378665026, bad = -1.3042440933294024
good = 18.479674507760993, bad = -1.7367862454388618
good = 18.599565730372845, bad = -2.202519429062999
good = 18.7017202283115, bad = -2.2978245739687115
good = 18.82441897429004, bad = -2.8637089444271226
good = 18.9061017556229, bad = -3.136189864145553
good = 18.985714401805993, bad = -3.2509078722561133
good = 19.064517576144226, bad = -3.22127024024147
good = 19.170125213760624, bad = -3.285357261814324
good = 18.999278667524923, bad = -3.327723608284554
good = 19.088917575117833, bad = -3.35248159733149
good = 19.182964005992833, bad = -3.365806507743351
good = 19.25740471371535, bad = -3.314471803085602
good = 19.343280532241252, bad = -3.548060113325245
good = 19.427097574367433, bad = -3.536644955769445
good = 19.525551254288562, bad = -3.6144270875371034
good = 19.60507646847656, bad = -3.5768895806992167
good = 19.691305481188163, bad = -3.6163460341768676
good = 19.813428625676526, bad = -3.6134740679731214
good = 19.91687858673309, bad = -3.6557788384237306
good = 19.980935150991968, bad = -3.6092652517895005
good = 19.92223652849536, bad = -3.650134659383672
good = 20.018739474888967, bad = -3.7041949207485767
good = 20.11726682395861, bad = -4.0680247439237744
good = 20.177516404881427, bad = -4.146229795909652
good = 20.258514939134194, bad = -4.195892926008892
good = 20.38228248757031, bad = -4.222793553870973
good = 20.466222059476962, bad = -4.19501604423
good = 20.50666308521847, bad = -4.15554708604345
good = 20.615996664465474, bad = -4.181895193571988
good = 20.735866185882813, bad = -4.530940628656507
good = 20.82414847772181, bad = -4.497115108190607
good = 20.9211624657319, bad = -4.5936766578660375
good = 20.9998781609518, bad = -4.582975822145545
good = 21.108850063837103, bad = -4.645638846081087
good = 21.191934412347166, bad = -4.893620867355334
good = 21.311394604329102, bad = -4.991988891816454
good = 21.390930672476856, bad = -5.215393862510349
good = 21.50478819566135, bad = -5.249214329455036
good = 21.584653423957548, bad = -5.209547374887226
good = 21.69930754775554, bad = -5.248240915849061
good = 21.79596771340219, bad = -5.309178998284838
good = 21.879488519484767, bad = -5.261923037536279
good = 21.986869881827346, bad = -12.727273841329133
good = 22.072499209856353, bad = -12.727209300136158
good = 22.145913828034715, bad = -12.70281579545193
good = 22.216053244036726, bad = -12.665416215125052
good = 22.351228814031455, bad = -12.881469419112422
good = 22.472862414708832, bad = -13.07896804803776
good = 22.559179485290027, bad = -13.055637837432432
good = 22.63371007275238, bad = -13.079125477091406
good = 22.726235051722835, bad = -13.073285088619436
good = 22.829516270254445, bad = -13.101120543865953
good = 22.94148935857907, bad = -13.160175007503904
good = 23.077964493650725, bad = -13.199059655623659
good = 23.180114735916877, bad = -17.565441002241016
good = 23.30012960363349, bad = -18.40800111896597
good = 23.375231758377936, bad = -18.37986288446354
good = 23.47128265384083, bad = -18.371690968321754
good = 23.556543144208813, bad = -18.331931631367382
good = 23.675980986403978, bad = -18.42257944944178
good = 23.756454609215496, bad = -18.592951102306156
good = 23.86380970000586, bad = -18.897198811560123
good = 23.94902457082968, bad = -20.713406290559103
