good = 5.0507698985042735, bad = 5.056177884615384
good = 5.078738648504273, bad = 5.061802884615385
good = 5.11271781517094, bad = 5.1430528846153845
good = 5.148898561507937, bad = 5.1430528846153845
good = 5.162127728174603, bad = 5.1430528846153845
good = 5.1748740682646925, bad = 5.166335542273043
good = 5.195967818264693, bad = 5.234043875606376
good = 5.237634484931358, bad = 5.263210542273041
good = 5.25730936021304, bad = 5.263210542273041
good = 5.3288730350250715, bad = 5.743443938263016
good = 5.399701930179624, bad = 6.060681302506959
good = 5.438504013512958, bad = 6.201306302506959
good = 5.450274846846291, bad = 6.201306302506959
good = 5.474099943745516, bad = 6.201306302506959
good = 5.531928333576024, bad = 6.201306302506959
good = 5.590529524052215, bad = 6.298330112030768
good = 5.6905317014490935, bad = 6.298330112030768
good = 5.736198368115761, bad = 6.755955112030769
good = 5.748951344306236, bad = 6.7629590802847375
good = 5.780350612411013, bad = 6.9350250792575165
good = 5.814933945744346, bad = 6.9350250792575165
good = 5.843525765995173, bad = 6.9350250792575165
good = 5.858532031659334, bad = 6.9350250792575165
good = 5.876934809437111, bad = 6.9350250792575165
good = 5.926255696883, bad = 6.987525079257516
good = 5.944252020412412, bad = 6.993628020433987
good = 5.978019381523523, bad = 6.993628020433987
good = 5.998778310094951, bad = 7.035294687100653
good = 6.031694976761616, bad = 7.08633635376732
good = 6.04845588946003, bad = 7.210046671227637
good = 6.086938141602014, bad = 7.2695407552749645
good = 6.1149052691343355, bad = 7.2695407552749645
good = 6.152487333209966, bad = 7.2695407552749645
good = 6.277061953636991, bad = 7.365818533052742
good = 6.350221675859216, bad = 7.439846310830521
good = 6.376263342525883, bad = 7.4846379774971865
good = 6.402246312102602, bad = 7.4846379774971865
good = 6.432194228769268, bad = 7.619012977497187
good = 6.472196493262021, bad = 7.354100832065545
good = 6.516922370455003, bad = 7.354100832065545
good = 6.583115552273186, bad = 7.532901507741221
good = 6.591619340151974, bad = 7.532901507741221
good = 6.599119340151974, bad = 7.532901507741221
good = 6.611723506818642, bad = 7.532901507741221
good = 6.651133229040863, bad = 7.582901507741221
good = 6.670599374874196, bad = 7.586286924407887
good = 6.687005624874196, bad = 7.542164855192749
good = 6.699278352146923, bad = 7.550952733980628
good = 6.7128962532756695, bad = 7.550952733980628
good = 6.725847815366685, bad = 7.550952733980628
good = 6.723302783187848, bad = 7.257795208845548
good = 6.729969449854515, bad = 7.257795208845548
good = 6.745586437034002, bad = 7.23557721707672
good = 6.725952619627326, bad = 7.255148295508093
good = 6.731056786293992, bad = 7.272231628841427
good = 6.761963257925198, bad = 7.272231628841427
good = 6.7769186150680545, bad = 7.242042079769152
good = 6.7757387934137405, bad = 7.265280627905798
good = 6.766146203005971, bad = 7.120803558275631
good = 6.793783519077655, bad = 7.12392855827563
good = 6.804389579683715, bad = 7.130689921911994
good = 6.83118696530463, bad = 7.114680365960929
good = 6.834249536326817, bad = 7.0903681740285425
good = 6.8690563393322535, bad = 7.135564252459915
good = 6.900530670896488, bad = 7.135564252459915
good = 6.924946255312074, bad = 7.135564252459915
good = 6.926151082897021, bad = 7.091482717986265
good = 6.935057332897021, bad = 7.097107717986265
good = 6.9400793686236355, bad = 7.118458391679034
good = 6.9400793686236355, bad = 6.850275881672582
good = 6.948968987524031, bad = 6.850275881672582
good = 6.9686799334147755, bad = 6.850275881672582
