good = 5.253398853398854, bad = 5.379371416871418
good = 5.356013232483821, bad = 5.512459652165534
good = 5.517124343594932, bad = 5.637459652165535
good = 5.704108470579059, bad = 5.679453699784582
good = 5.820411152571396, bad = 5.78708301012941
good = 6.116305813466059, bad = 5.926541884588284
good = 6.236705119021614, bad = 6.134224176254952
good = 6.34651151632801, bad = 6.207645893426668
good = 6.399983738550232, bad = 6.3107708934266675
good = 6.454983738550232, bad = 6.381951448982224
good = 6.5633170718835645, bad = 6.604451448982223
good = 6.6420207755872696, bad = 6.766257004537778
good = 6.714845834188191, bad = 6.995419682105629
good = 6.754261572114567, bad = 7.013357878660847
good = 6.85145072555372, bad = 7.1518003389783065
good = 6.949627808887055, bad = 7.357399297311641
good = 7.0148617270157105, bad = 7.471193156960763
good = 7.147083949237936, bad = 7.541193156960763
good = 7.215833949237935, bad = 7.613068156960764
good = 7.255556171460158, bad = 7.65098482362743
good = 7.294445060349047, bad = 7.767651490294096
good = 7.391568076222064, bad = 7.835508633151239
good = 7.484148485578789, bad = 7.940738896309134
good = 7.592163985404633, bad = 8.072552288855285
good = 7.655656048896697, bad = 8.155736812664808
good = 7.6979940118596595, bad = 8.227993757109253
good = 7.751082247153775, bad = 8.30792022769749
good = 7.829508173079701, bad = 8.312503561030823
good = 7.885936744508275, bad = 8.324824989602252
good = 7.950633714205243, bad = 8.403158322935585
good = 7.989522603094131, bad = 8.571491656268918
good = 8.045980936427465, bad = 8.674616656268919
good = 8.131427364998894, bad = 8.714095822935585
good = 8.172460637282166, bad = 8.826076134290895
good = 8.204563811885338, bad = 8.869870777148039
good = 8.22993418225571, bad = 9.00098188825915
good = 8.258580015589043, bad = 9.019158971592484
good = 8.381371529630556, bad = 8.59380763493736
good = 8.417852026084457, bad = 8.714464715213131
good = 8.477375835608267, bad = 8.602332758789915
good = 8.519779764242783, bad = 8.674867025247016
good = 8.616375205478203, bad = 8.692079326834317
good = 8.673003993356991, bad = -0.7634374866675421
good = 8.692413715579212, bad = -0.7136979033342084
good = 8.708247048912545, bad = -0.7116877533365238
good = 8.731055981709034, bad = -0.7396564597158596
good = 8.763688316939614, bad = -0.6962678393199866
good = 8.822660575431438, bad = -0.768933788619932
good = 8.850288493472366, bad = -1.3436420027603
good = 8.854930215121286, bad = -1.346348806808629
good = 8.89012764717011, bad = -1.3630013493912725
good = 8.909917983374244, bad = -1.3608715130817486
good = 8.95261417490898, bad = -1.8855069443870212
good = 8.968308619353424, bad = -1.8902154530653485
good = 8.98726080242075, bad = -1.8488118513704337
good = 9.037959413247695, bad = -2.9576384996912988
good = 9.08565020272138, bad = -3.1064698633584644
good = 9.126628393413641, bad = -3.075314560328162
good = 9.171881656380464, bad = -3.087595733299496
good = 9.196881656380464, bad = -3.101168582134081
good = 9.220155685138131, bad = -3.080335248800747
good = 9.266782669265114, bad = -3.0935674348422157
good = 9.284252907360354, bad = -3.0761530686260157
good = 9.296353089550223, bad = -3.100344289792677
good = 9.329211528545235, bad = -3.121259883159269
good = 9.359003195211903, bad = -3.145706684899324
good = 9.38854588895878, bad = -3.172544047816041
good = 9.421123524263095, bad = -3.1975410695728983
good = 9.44686250493142, bad = -3.1907444032816152
good = 9.466070911064394, bad = -3.1589982637087104
good = 9.489492868736352, bad = -3.143635168470615
good = 9.502377356421118, bad = -3.1275914534227236
good = 9.502377356421118, bad = -3.1275914534227236
good = 9.571049254902745, bad = -3.2792281538036177
good = 9.588537353374178, bad = -3.2361725982480625
good = 9.612024969279187, bad = -3.2718962084462753
good = 9.64953257854881, bad = -3.2662690058264006
good = 9.666199245215477, bad = -3.2412690058264007
good = 9.673342102358333, bad = -3.2281186608870853
good = 9.730524431523419, bad = -4.71853945704431
good = 9.775323851223106, bad = -5.708940402965533
good = 9.790601629000886, bad = -5.6922737362988665
good = 9.793707311431628, bad = -5.690190402965534
good = 9.83090969238401, bad = -5.744788147641998
good = 9.836405429953011, bad = -5.755373147725062
good = 9.877763237613244, bad = -5.76400501770945
good = 9.920263237613245, bad = -5.73101190808479
good = 9.943898956283773, bad = -5.742703494654439
good = 9.962165663554602, bad = -5.732674061600465
good = 10.010255941332382, bad = -5.711352964538138
good = 10.018589274665715, bad = -5.672255931865679
good = 10.03803371911016, bad = -5.63124066818311
good = 10.070722182286502, bad = -5.6877057605032375
good = 10.096753928318249, bad = -5.700555995145111
good = 10.127656706096026, bad = -5.646910161811776
good = 10.144143131176827, bad = -5.69742268051434
good = 10.193850501152347, bad = -5.726476004926038
good = 10.209088596390444, bad = -5.719025182104731
good = 10.219011853054303, bad = -5.68633032269255
good = 10.244636592101305, bad = -5.668084276314223
good = 10.272414369879082, bad = -5.6715971273526655
good = 10.301405923504992, bad = -5.737086852333273
good = 10.32646651315693, bad = -5.868683965689904
good = 10.345233045856713, bad = -5.851769992902596
good = 10.368039834207254, bad = -5.868852003147765
good = 10.401373167540587, bad = -5.867737655782337
good = 10.40847029567073, bad = -5.860966822449002
good = 10.482636962337395, bad = -5.951420515917455
good = 10.49693138008783, bad = -5.949808268168295
good = 10.54983542049187, bad = -6.041932315236913
good = 10.57483542049187, bad = -6.016326010773737
good = 10.593454764383381, bad = -6.015151768349495
good = 10.637072299566622, bad = -6.019535922673533
good = 10.699946665798086, bad = -6.106817827345549
good = 10.728071665798085, bad = -6.077130327345548
good = 10.735377136656831, bad = -6.058699620823809
good = 10.793538339377871, bad = -6.041288906538096
good = 10.806844538868582, bad = -6.102713993936265
good = 10.845366346476927, bad = -6.093493962473465
good = 10.87361846563797, bad = -6.117814982499911
good = 10.910624748189354, bad = -6.132014214979797
good = 10.931688240252846, bad = -6.138937956147126
good = 10.966374713904683, bad = -6.1779377428618565
good = 10.995044242276077, bad = -6.721737018243541
good = 11.019349797831632, bad = -6.679028684910208
good = 11.083656470583817, bad = -6.675869914697371
good = 11.09760269800025, bad = -6.673932414697372
