good = 5.192989073206464, bad = 5.137184557770183
good = 5.34644563502108, bad = 5.137184557770183
good = 5.521894450295984, bad = 5.198409047566102
good = 5.634961239652628, bad = 5.218817210831408
good = 5.735902772061027, bad = 5.312326316336964
good = 5.916533593735328, bad = 5.353895513185663
good = 6.03908840607275, bad = 5.441341193799046
good = 6.18180947180251, bad = 5.466223557811845
good = 6.282002708517484, bad = 5.5218284084477505
good = 6.393828732448332, bad = 5.562644734978362
good = 6.498946923086368, bad = 5.607973356692926
good = 6.610780976819735, bad = 5.628381519958232
good = 6.682541108609851, bad = 5.857738769185138
good = 6.782933279292492, bad = 5.918963258981057
good = 6.877420547258022, bad = 6.055026564698312
good = 6.970400533455401, bad = 6.116251054494231
good = 7.074683608292249, bad = 6.160037539339884
good = 7.206007279789834, bad = 6.18044570260519
good = 7.325446784204761, bad = 6.279217979541889
good = 7.431508412135101, bad = 6.351710639319898
good = 7.535878554989717, bad = 6.429570384678692
good = 7.615364637345365, bad = 6.544823690970152
good = 7.740920669131758, bad = 6.626456344031377
good = 7.837260630641345, bad = 6.667272670561989
good = 7.928448484333543, bad = 6.728497160357907
good = 8.003397243572158, bad = 6.769313486888519
good = 8.181090346747832, bad = 6.850946139949744
good = 8.2787894022063, bad = 6.87135430321505
good = 8.37010939300455, bad = 6.981369655111503
good = 8.451000205895363, bad = 7.087280071226
good = 8.540529262030065, bad = 7.185797586546391
good = 8.628328305406747, bad = 7.271756061248687
good = 8.71841342157882, bad = 7.373788426990014
good = 8.804725266470376, bad = 7.459705851771681
good = 8.89241240702708, bad = 7.459705851771681
good = 8.959865577796194, bad = 7.582154831363517
good = 9.049614554530677, bad = 7.6229711578941295
good = 9.150655626180445, bad = 7.8220558945121414
good = 9.224804472366293, bad = 7.87529705238431
good = 9.429082365165927, bad = 7.895705215649616
good = 9.515616580559211, bad = 8.019142496583491
good = 9.626412322942103, bad = 8.039550659848798
good = 9.729402071357942, bad = 8.202400140572468
good = 9.886461190389602, bad = 8.222808303837775
good = 9.964628964789263, bad = 8.345363924485676
good = 10.088706746626636, bad = 8.386180251016288
good = 10.16546522164598, bad = 8.52113660886528
good = 10.235159263513935, bad = 8.602769261926504
good = 10.321678283945998, bad = 8.684463373789205
good = 10.415260677934192, bad = 8.751062691852589
good = 10.530872380241549, bad = 8.833071745600773
good = 10.617758186544743, bad = 8.914704398661996
good = 10.680064628664848, bad = 9.113679463399517
good = 10.782222438648745, bad = 9.113679463399517
good = 10.893737644277929, bad = 9.252338181264317
good = 11.018422245332522, bad = 9.29315450779493
good = 11.123442186489761, bad = 9.355737140063265
good = 11.23382853936205, bad = 9.396553466593877
good = 11.333536907997955, bad = 9.396553466593877
good = 11.382392558637171, bad = 9.437369793124489
good = 11.470899268245331, bad = 9.546075304314474
good = 11.549834089194645, bad = 9.644217584000677
good = 11.600706972904945, bad = 9.664625747265982
good = 11.67671111369169, bad = 9.705442073796593
good = 11.765815653491886, bad = 9.766666563592512
good = 11.85582182633139, bad = 9.960252569423416
good = 11.939077941052922, bad = 10.020955279105717
good = 12.02905160176365, bad = 9.993663398469705
good = 12.133199460219396, bad = 9.878585707164278
good = 12.228614523929373, bad = 9.898993870429583
good = 12.304342392473947, bad = 9.803644853359218
good = 12.384954656370917, bad = 9.812515806995414
good = 12.45835872913655, bad = 9.882160809499666
good = 12.497848866792156, bad = 9.902568972764971
good = 12.56716330586892, bad = 9.990182821993729
good = 12.620300378767284, bad = 9.809394477423119
good = 12.669203783639412, bad = 9.638276110294399
