good = -0.7816359348575243, bad = 5.0273496637132995
good = -0.6752021113281127, bad = 5.0273496637132995
good = -0.5702021113281127, bad = 5.057652694016331
good = -0.45968871847096926, bad = 5.0778547142183506
good = -0.42435825870085414, bad = 5.087955724319361
good = -0.31570160285669807, bad = 5.128359764723401
good = -0.16934743619003143, bad = 5.128359764723401
good = -0.11874137558397038, bad = 5.195929400474855
good = -0.0720747089173041, bad = 5.226232430777885
good = 0.05809890219380675, bad = 5.246434450979905
good = 0.10434890219380673, bad = 5.296939501484955
good = 0.16747390219380676, bad = 5.307040511585965
good = 0.26906377870825193, bad = 5.327242531787985
good = 0.31450640788758366, bad = 5.4336638882093435
good = 0.4478000586812341, bad = 5.453865908411363
good = 0.5472922461812342, bad = 5.511683669354124
good = 0.6176540882864975, bad = 5.511683669354124
good = 0.716612421619831, bad = 5.541986699657154
good = 0.7609874216198311, bad = 5.5520877097581645
good = 0.7809874216198311, bad = 5.599225756896211
good = 0.8166124216198317, bad = 5.6093267669972215
good = 0.8688966478103077, bad = 5.6290628179832725
good = 0.9829646302664485, bad = 4.017582577585667
good = 1.0101061967937908, bad = 4.037784597787688
good = 1.0551359586985525, bad = 4.10220859971169
good = 1.112427625365219, bad = 4.10220859971169
good = 1.2044496841887486, bad = 4.12241061991371
good = 1.2548142675220821, bad = 4.13251163001472
good = 1.2878499818077966, bad = 4.13251163001472
good = 1.3327552848380992, bad = 3.952361323082833
good = 1.3685886181714335, bad = 3.974246844968355
good = 1.4079338562666721, bad = 3.9961323668538773
good = 1.4675543919809582, bad = 4.006233376954888
good = 1.5292851612117273, bad = 4.006233376954888
good = 1.558890815973632, bad = 4.074264882486393
good = 1.5986130381958537, bad = 4.084365892587403
good = 1.6799324826402984, bad = 4.104567912789423
good = 1.7361870613948769, bad = 4.130102563324073
good = 1.7892123273523237, bad = 4.150304583526093
good = 1.9014620262572037, bad = 4.150304583526093
good = 1.9578392842857495, bad = 4.174143115040063
good = 1.9978591255555904, bad = 4.2307007549310365
good = 2.031907955015604, bad = 4.27397526351655
good = 2.060657955015604, bad = 4.28407627361756
good = 2.105293371682271, bad = 4.28407627361756
good = 2.1404526854077606, bad = 4.258384139162312
good = 2.2003137965188717, bad = 4.278586159364332
good = 2.2380221298522054, bad = 4.34129659707477
good = 2.2698971298522066, bad = 4.360416366194539
good = 2.3131114155664916, bad = 4.380618386396559
good = 2.349126985937499, bad = 4.413025793803966
good = 2.3975607656994042, bad = 4.473785924876597
good = 2.441249982856374, bad = 4.473785924876597
good = 2.4710288998791827, bad = 4.492232501580542
good = 2.497068637091874, bad = 4.5023335116815515
good = 2.5162857517594155, bad = 4.1226155487306215
good = 2.5595508644459817, bad = 4.1226155487306215
good = 2.5763196136344417, bad = 4.098024532120669
good = 2.580374940354326, bad = 4.122178209175226
good = 2.6087082736876597, bad = 4.13564622264324
good = 2.6359053586895453, bad = 4.176892013889032
good = 2.6545761002115182, bad = 4.213628425625444
good = 2.665355136072804, bad = 4.2237294357264545
good = 2.697522953388079, bad = 4.233830445827465
good = 2.7318688809997154, bad = 4.243931455928474
good = 2.761516367261414, bad = 4.290859065356084
good = 2.791125368036838, bad = 4.311061085558104
good = 2.822485560311174, bad = 4.31353258011216
good = 2.855501805524205, bad = 4.14109469679636
good = 2.8537136095915083, bad = 4.20230414508071
good = 2.885675059038027, bad = 4.237874130650695
good = 2.9094041748726296, bad = 4.2544804988195635
good = 2.931673945478884, bad = 4.2544804988195635
good = 2.9555095619172396, bad = 1.8094401254616588
good = 2.9897334294121394, bad = 1.819541135562669
good = 2.9878552796709554, bad = 1.8296421456636789
good = 3.0184471945914004, bad = 1.8982448392663724
good = 3.0469446243109353, bad = 1.8982448392663724
good = 3.077733613711831, bad = 1.876083490729892
good = 3.0580589756932626, bad = 1.8962855109319123
good = 3.0625844023321, bad = 1.7565021144638224
good = 3.096552555646832, bad = 1.7504976925974955
good = 3.114052555646832, bad = 1.7948978181034156
good = 3.132078163827728, bad = 1.8304676978506125
good = 3.1555671948904433, bad = 1.8506697180526333
good = 3.1508717666426316, bad = 1.8991605790434942
good = 3.1835809063683356, bad = 1.8985934482166003
good = 3.208035107142363, bad = 1.9081241194999028
good = 3.2349762815214915, bad = 1.9081241194999028
good = 3.2285164786309384, bad = 1.9455929487430579
good = 3.2594752058806917, bad = 1.9758959790460882
good = 3.279719357373862, bad = 2.0264010295511388
good = 3.3058588873753063, bad = 1.9953449033565125
good = 3.3356059111848304, bad = 1.9563931435974324
good = 3.356594942247546, bad = 1.9866961739004634
good = 3.383522025580879, bad = 2.0335185644728537
good = 3.413315624913251, bad = 1.9898703617412223
good = 3.4432737935490842, bad = 2.0100723819432424
good = 3.464839551793853, bad = 2.043321540192401
good = 3.4863755535631564, bad = 2.144331641202502
good = 3.5240121229219517, bad = 2.104381371274011
good = 3.5412037076616865, bad = 2.1082382542526776
good = 3.5603468803502887, bad = 2.1227584562728796
good = 3.585743207936594, bad = 2.15306148657591
good = 3.594099441046348, bad = 2.235205983493134
good = 3.631703607713015, bad = 2.2533036265907773
good = 3.6630299085371054, bad = 2.2533036265907773
good = 3.6836549085371053, bad = 2.288657161944312
good = 3.706727523264426, bad = 2.298758172045322
good = 3.7422607720112198, bad = 2.328908156740761
good = 3.7688753553445538, bad = 2.3321926581441117
good = 3.7918987926605103, bad = 2.261244605283878
good = 3.81454726009346, bad = 2.2919830239533314
good = 3.8460762343382107, bad = 2.2919830239533314
good = 3.8563290461032924, bad = 2.3334085260344724
good = 3.8839117000888, bad = 2.372408123457982
good = 3.9101719282238747, bad = 2.4447986958485552
good = 3.9351719282238746, bad = 2.4447986958485552
good = 3.972671928223876, bad = 2.4616337126835717
good = 3.9989219282238757, bad = 2.411551694177332
good = 4.014868467776456, bad = 2.445968718203744
good = 4.034898229681218, bad = 2.4922650145000405
good = 4.055900844229985, bad = 2.5066292450407417
good = 4.0971891100790465, bad = 2.5167302551417516
good = 4.119689110079047, bad = 2.5268312652427616
good = 4.143260538650477, bad = 2.547033285444782
good = 4.171308764500896, bad = 2.5694343797208767
good = 4.190748773106491, bad = 2.5952303641881866
good = 4.186629298945269, bad = 2.6438989803238364
good = 4.215527003250455, bad = 2.6641010005258567
good = 4.244592447750455, bad = 2.7101868591117144
good = 4.275256716966557, bad = 2.7404898894147447
good = 4.299423383633223, bad = 2.760691909616765
good = 4.308509389563295, bad = 2.8096027350427426
good = 4.299738424663342, bad = 2.8096027350427426
good = 4.327491381330657, bad = 2.853909438440355
good = 4.359831585907914, bad = 2.8165238824749554
good = 4.3916130212757665, bad = 2.8043337082207738
good = 4.409391087754962, bad = 2.8489064194601514
good = 4.42708121101204, bad = 2.8691084396621718
good = 4.443239844132295, bad = 2.893509454077579
good = 4.465597063959881, bad = 2.4684663182259436
good = 4.500409937317953, bad = 2.428451141293151
good = 4.511308026159528, bad = 2.437048360546008
good = 4.541724692826196, bad = 2.494287417785066
good = 4.577707141456332, bad = 2.2615772409735504
good = 4.610936308122999, bad = 1.938811850910444
good = 4.638674403361095, bad = 1.9590138711124647
good = 4.664454845560786, bad = 1.9583147472950317
good = 4.688447019378227, bad = 1.9785167674970519
good = 4.727784368739812, bad = 1.988617777598062
good = 4.752784368739811, bad = 1.988617777598062
good = 4.776059405550688, bad = 2.0088197978000824
good = 4.799530885282568, bad = 2.0413243303046147
good = 4.827461299131644, bad = 2.0615263505066346
good = 4.859604156274502, bad = 2.095363308158918
good = 4.8746041562745015, bad = 2.135767348562958
good = 4.896966674023167, bad = 2.1589154967111064
good = 4.910966716847244, bad = 2.1589154967111064
good = 4.9344557479099596, bad = 2.1791175169131263
good = 4.958049497909959, bad = 2.249771248258379
good = 4.9869020378722375, bad = 2.2800742785614094
good = 5.010659075508711, bad = 2.3326536436407745
good = 5.042444654573238, bad = 2.342754653741785
good = 5.0711946545732385, bad = 2.352855663842795
good = 5.0843989500020905, bad = 2.362956673943805
good = 5.097795484513168, bad = -8.328155429794244
good = 5.1239413178465005, bad = -8.303323779962595
good = 5.150494889275073, bad = -8.273958700597513
good = 5.181181257676237, bad = -8.281260722481276
good = 5.203828670708206, bad = -8.288204155295764
good = 5.221914525714067, bad = -8.278034922542554
good = 5.248561886437793, bad = -8.278034922542554
good = 5.270643953635686, bad = -8.280346047951069
good = 5.286962648517915, bad = -8.263931906536927
good = 5.308233481851249, bad = -8.235564903169925
good = 5.339066815184582, bad = -8.225463893068914
good = 5.3624001485179145, bad = -8.159807327412349
good = 5.390639730059914, bad = -8.143800685163981
good = 5.431160563393248, bad = -8.13369967506297
good = 5.450983093508699, bad = -8.13369967506297
good = 5.452517834488699, bad = -8.133488585296337
good = 5.484683013060128, bad = -8.111933751241503
good = 5.538347161411776, bad = -8.101832741140495
good = 5.55341628513397, bad = -8.05693936291378
good = 5.576541285133971, bad = -8.03589559187001
good = 5.581414705436031, bad = -8.041532127737092
good = 5.617943786065032, bad = -8.068911626684837
good = 5.643101753097999, bad = -8.072741784200693
good = 5.662871098336095, bad = -8.143385550753594
good = 5.690038844595072, bad = -8.159416931694325
good = 5.7251186757796635, bad = -8.149315921593317
good = 5.741999853778831, bad = -8.123552498815148
good = 5.732050263886475, bad = -8.123552498815148
good = 5.753243095613225, bad = -8.362828517154421
good = 5.779981804758969, bad = -8.342513121105991
good = 5.812481804758969, bad = -8.432611044482732
good = 5.836859919611018, bad = -8.429924176131474
good = 5.881279562468158, bad = -8.439415442459815
good = 5.8960495518687965, bad = -8.369286912578962
